Delta Energy,Theta Energy,Alpha Energy,Beta Energy,Delta Relative Power,Theta Relative Power,Alpha Relative Power,Beta Relative Power,Beta-Theta Ratio,Slow-Fast Ratio,Beta-Delta Theta Ratio,Spectral Slope,Entropy,SEF95,Hjorth Mobility,Hjorth Complexity,Mean,Standard Deviation,Variance,Alpha-Beta Ratio,Delta-Theta Ratio,Delta-Alpha Ratio,Delta-Beta Ratio,Theta-Alpha Ratio,Theta-Beta Ratio,Peak Frequency,Spectral Centroid,label
0.915556359,1.1963803,0.9302846,1.611096453,0.19675346,0.257102647,0.199918565,0.346225328,1.346642411,0.568281531,0.762852638,-7.095708458,2.936258908,28,0.165420909,1.734870822,-0.721054456,2.691676793,7.245123957,0.577423281,0.765272011,0.984168027,0.568281531,1.286036876,0.742587632,12,10.82802057,1
1.879180211,0.68262066,0.858781264,1.233393483,0.403779556,0.146674739,0.184526378,0.265019326,1.806850502,1.523585326,0.481455642,-7.151381542,2.900154474,27,0.102085751,2.649814209,0.75078919,3.797677348,14.42235324,0.696275176,2.752890911,2.188194234,1.523585326,0.794871393,0.553449219,1,7.702267567,1
11.57695242,1.419344769,4.285757303,1.589254986,0.613468421,0.07521178,0.227104394,0.084215406,1.119710321,7.284515401,0.122285214,-7.249351878,2.242829544,15,0.103127315,2.657999554,0.57317187,3.802002902,14.45522607,2.696708421,8.156547074,2.701261784,7.284515401,0.331177122,0.893088133,2,4.655149314,1
2.406944898,0.933435169,0.961100137,0.824193489,0.469586057,0.182109753,0.187507086,0.160797105,0.882968113,2.920363882,0.246736441,-7.019885284,2.611706839,23,0.118482525,2.181919881,-0.909064421,2.997872592,8.987240076,1.166109838,2.578588186,2.504364329,2.920363882,0.971215312,1.13254373,1,5.902706771,1
1.532138915,0.314198026,1.794200229,3.536523579,0.213477211,0.043778092,0.249990949,0.492753747,11.25571545,0.433233055,1.915426973,-7.148793672,3.052967484,26,0.141716142,1.900490828,0.085716642,2.892541387,8.366795676,0.507334445,4.876347995,0.853939762,0.433233055,0.175118708,0.088843753,2,12.64397924,1
0.58514298,0.35203328,0.797457963,1.952361123,0.158704562,0.095479719,0.216289387,0.529526332,5.545956117,0.299710424,2.08323792,-6.858770931,3.067941802,27,0.196299111,1.418329633,0.54074308,2.302026142,5.29932436,0.408458227,1.66218086,0.733760282,0.299710424,0.44144431,0.18031156,2,14.20348576,1
3.515171911,1.292270888,0.414364989,2.759084704,0.440448473,0.161920598,0.05191963,0.345711298,2.135066827,1.274035518,0.573919404,-7.054792078,2.690849809,22,0.150018487,1.750346487,-0.248931281,2.691281543,7.242996343,0.150182047,2.720150972,8.483274423,1.274035518,3.11867779,0.468369415,2,7.529464453,1
1.053793925,1.216013017,0.792764166,0.770126661,0.274948349,0.317273391,0.206842338,0.200935922,0.633321067,1.368338455,0.339291702,-6.895167614,2.614441004,22,0.126630731,1.979116825,-0.435545062,2.768747322,7.665961733,1.029394522,0.86659757,1.329265337,1.368338455,1.533889988,1.578977951,3,7.228727181,1
0.093754078,2.691482346,1.699474218,3.361844036,0.011948439,0.34301454,0.216588591,0.42844843,1.249067839,0.027887694,1.207022861,-7.16568843,3.046925242,25,0.154117763,1.64816041,0.465828764,2.52379709,6.369551753,0.505518459,0.034833622,0.05516652,0.027887694,1.583714726,0.800597028,5,11.91327972,1
0.141223278,0.904363371,0.3585041,0.950957804,0.059966185,0.3840105,0.152227902,0.403795413,1.051521805,0.148506356,0.909496889,-6.86910057,3.091662347,29,0.171787223,1.541827725,0.296722215,2.276951971,5.184510279,0.376992647,0.156157671,0.393923745,0.148506356,2.52260259,0.951002628,6,12.21282058,1
2.023596596,0.465347246,1.177536909,1.499481514,0.391717262,0.09007949,0.227941446,0.290261802,3.222285135,1.349530872,0.602456949,-7.07999332,2.836238334,26,0.147972189,1.91983377,-1.310498696,2.258532407,5.100968634,0.785296049,4.34857327,1.718499506,1.349530872,0.395186973,0.310338768,1,8.280858124,1
11.12504557,3.048398546,1.265904752,0.97374015,0.677815465,0.185729727,0.077127758,0.05932705,0.319426786,11.4250661,0.068701731,-7.165031315,2.137928076,11,0.088294389,3.113149063,-0.118298674,3.995791219,15.96634746,1.300043705,3.649472142,8.78821693,11.4250661,2.408078919,3.13060784,1,3.745121093,1
1.853248166,1.202234594,0.177865077,0.768764271,0.463067529,0.300400029,0.044442802,0.192089639,0.63944614,2.410684571,0.251601574,-6.950628428,2.633498907,25,0.108934435,2.524855294,1.384073579,3.292182626,10.83846644,0.231364911,1.541502945,10.4194044,2.410684571,6.759250401,1.563853367,1,6.285350306,1
1.081072416,0.620198773,0.732413679,1.868668201,0.251274686,0.144153388,0.170235605,0.43433632,3.013014991,0.578525613,1.098395254,-6.933257656,2.959809873,22,0.148896459,1.718565768,-0.254475902,2.337738994,5.465023605,0.391944208,1.743106344,1.476040723,0.578525613,0.846787534,0.33189347,4,9.606118515,1
2.877890924,0.830882739,1.085060339,2.815272423,0.378216674,0.109195836,0.142600232,0.369987258,3.388290899,1.022242431,0.759084452,-7.119340556,2.743471791,24,0.16799518,1.598925461,-0.581659802,2.872351871,8.25040527,0.385419304,3.463654724,2.652286533,1.022242431,0.765747958,0.295134045,2,9.674149756,1
1.829632923,0.428567254,1.276413712,2.242247031,0.316717496,0.074186874,0.22095282,0.38814281,5.2319607,0.815981869,0.99293546,-7.086518886,2.891942072,28,0.191042398,1.504377904,0.198510063,2.842484974,8.079720825,0.569256507,4.26918507,1.43341685,0.815981869,0.335758892,0.191132934,3,11.78669883,1
